epochs, networks, lookback, batch_size, trainsize, k_neighbors, test_mse
850, 1, 1, 200, 2000, 1, 932
950, 2, 1, 200, 2000, 2, 1934.2218
2050, 2, 1, 200, 2000, 2, 825.5419
1550, 2, 1, 200, 2000, 2, 1042.3633
1850, 2, 1, 200, 2000, 2, 889.8280
1850, 2, 1, 100, 2000, 2, 730.9770
1850, 2, 10, 100, 2000, 2, 946.7528
1850, 5, 10, 100, 2000, 5, 2278.7610
500, 2, 10, 100, 2000, 2, 2178.5127
1050, 5, 10, 100, 2000, 5, 3065.1678
2050, 10, 10, 100, 2000, 10, 3231.4614
3050, 10, 10, 100, 2000, 10, 2636.1078
3050, 10, 10, 200, 2000, 10, 3710.6282
3050, 8, 10, 100, 2000, 8, 2313.3953
2050, 8, 10, 100, 2000, 8, 2639.9080
4050, 8, 10, 100, 2000, 8, 2387.3709
3550, 8, 10, 100, 2000, 8, 2213.0610
3750, 8, 10, 100, 2000, 8, 2383.2435
1250, 8, 10, 100, 2000, 8, 
