epochs, networks, lookback, batch_size, trainsize, k_neighbors, weighted, train_style, window_size, base_size, adaptive, test_mse
1050, 5, 1, 100, 2000, 5, 1, 'o', 400, 1000, 0, 9.63244e-5
1250, 5, 1, 100, 2000, 5, 1, 'o', 400, 1000, 0, 0.000604
750, 5, 1, 100, 2000, 5, 1, 'o', 400, 1000, 0, 0.000294
500, 5, 1, 100, 2000, 5, 1, 'o', 400, 1000, 0, 0.000296
1050, 5, 1, 200, 2000, 5, 1, 'o', 400, 1200, 0, 0.000329
1050, 10, 1, 200, 2000, 10, 1, 'o', 800, 800, 0, 0.000213
1050, 10, 1, 200, 2000, 10, 1, 'o', 1200, 800, 0, 0.000196
1050, 10, 1, 200, 2000, 10, 1, 'o', 1000, 800, 0, 0.000201
1050, 10, 1, 200, 2000, 10, 1, 'o', 1000, 1000, 0, 0.000231
1050, 10, 1, 200, 2000, 10, 1, 'o', 1000, 1000, 0, 0.000231
1050, 5, 1, 200, 2000, 5, 1, 's', 400, 1000, 0, 0.003856
1050, 5, 1, 200, 2000, 5, 1, 'o', 400, 1000, 0, 7.277498e-5
1550, 5, 1, 100, 2000, 5, 1, 'o', 400, 1000, 0, 0.000227
1050, 5, 1, 150, 2000, 5, 1, 'o', 400, 1000, 0, 0.000400
1050, 5, 1, 250, 2000, 5, 1, 'o', 400, 1000, 0, 0.000266
1550, 5, 1, 250, 2000, 5, 1, 'o', 400, 1000, 0, 0.000571
750, 5, 1, 250, 2000, 5, 1, 'o', 400, 1000, 0, 0.000179
750, 5, 1, 200, 2000, 5, 1, 'o', 400, 1000, 0, 0.000252
1150, 5, 1, 200, 2000, 5, 1, 'o', 400, 1000, 0, 0.000453
, , , , , , , , , , , changed network to be larger
250, 5, 1, 200, 2000, 5, 1, 'o', 400, 1000, 0, 0.00751
500, 5, 1, 200, 2000, 5, 1, 'o', 400, 1200, 0, 9.00212e-5
750, 5, 1, 200, 2000, 5, 1, 'o', 400, 1200, 0, 9.235e-5
1050, 5, 1, 200, 2000, 5, 1, 'o', 400, 1200, 0, 0.000142
400, 5, 1, 200, 2000, 5, 1, 'o', 400, 1200, 0, 9.293e-5
400, 5, 1, 200, 2000, 5, 1, 'o', 400, 1300, 0, 8.603e-5
650, 5, 1, 200, 2000, 5, 1, 'o', 400, 1300, 0, 0.000128
500, 5, 1, 200, 2000, 5, 1, 'o', 400, 1300, 0, 8.638e-5
400, 5, 1, 200, 2000, 5, 1, 'o', 400, 1300, 0, 9.1597e-5
, , , , , , , , , , , changed network to layers in lstm-lstm best.dat
400, 5, 1, 200, 2000, 5, 1, 'o', 400, 1300, 0, 0.00017
600, 5, 1, 200, 2000, 5, 1, 'o', 400, 1300, 0, 0.000213
, , , , , , , , , , , adaptive runs
1050, 5, 1, 200, 2000, 5, 1, 'o', 1000, 1000, 1, 9.4845e-5
1050, 5, 1, 200, 2000, 5, 1, 'o', 1000, 1000, 0, 0.000238
400, 5, 1, 200, 2000, 5, 1, 'o', 1000, 1300, 1, 0.000133
400, 5, 1, 200, 2000, 5, 1, 'o', 400, 1300, 1, 0.000129
