epochs, networks, lookback, batch_size, trainsize, k_neighbors, weighted, test_mse
850, 1, 1, 200, 2000, 1, 0, 932
950, 2, 1, 200, 2000, 2, 0, 1934.2218 x
2050, 2, 1, 200, 2000, 2, 0, 825.5419 x
1550, 2, 1, 200, 2000, 2, 0, 1042.3633 x
1850, 2, 1, 200, 2000, 2, 0, 889.8280 x
1850, 2, 1, 100, 2000, 2, 0, 730.9770 x
1850, 2, 10, 100, 2000, 2, 0, 946.7528
1850, 5, 10, 100, 2000, 5, 0, 2278.7610 x
500, 2, 10, 100, 2000, 2, 0, 2178.5127
1050, 5, 10, 100, 2000, 5, 0, 3065.1678 x
2050, 10, 10, 100, 2000, 10, 0, 3231.4614
3050, 10, 10, 100, 2000, 10, 0, 2636.1078
3050, 10, 10, 200, 2000, 10, 0, 3710.6282
3050, 8, 10, 100, 2000, 8, 0, 2313.3953
2050, 8, 10, 100, 2000, 8, 0, 2639.9080
4050, 8, 10, 100, 2000, 8, 0, 2387.3709
3550, 8, 10, 100, 2000, 8, 0, 2213.0610
3750, 8, 10, 100, 2000, 8, 0, 2383.2435
 , , , , , , , with weights
950, 2, 1, 200, 2000, 2, 1, 1916.2885
2050, 2, 1, 200, 2000, 2, 1, 846.6156
1550, 2, 1, 200, 2000, 2, 1, 1047.3011
1850, 2, 1, 200, 2000, 2, 1, 893.6527
1850, 2, 1, 100, 2000, 2, 1, 742.9172
1850, 5, 10, 100, 2000, 5, 1, 2499.8665
1250, 2, 1, 100, 2000, 2, 1, 807.6063
1850, 5, 1, 100, 2000, 5, 1, 1194.2781
1850, 10, 1, 100, 2000, 10, 1, 2476.6504
1050, 5, 10, 100, 2000, 5, 1, 3297.8880
, , , , , , , sliding window training
1850, 5, 1, 100, 2000, 5, 1, 713.8548
1850, 10, 1, 100, 2000, 10, 1, 727.5496
